Formula,Elastic Modulus,Temperature
SiC,138.0,651
SiC,166.0,676
SiC,178.0,701
SiC,194.0,749
SiC,180.0,800
SiC,146.0,851
SiC,144.0,603
SiC,178.0,651
SiC,223.0,703
SiC,204.0,749
SiC,249.0,802
SiC,317.0,851
SiO2,57.0,375
SiO2,61.0,475
HfB2,502.0,19
HfB2,501.0,64
HfB2,498.0,128
HfB2,496.0,173
HfB2,493.0,224
HfB2,490.0,276
HfB2,488.0,314
HfB2,487.0,352
HfB2,485.0,384
HfB2,484.0,429
HfB2,482.0,461
HfB2,480.0,513
HfB2,478.0,577
HfB2,476.0,628
HfB2,475.0,660
HfB2,473.0,698
HfB2,472.0,737
HfB2,471.0,788
HfB2,469.0,814
HfB2,467.0,871
HfB2,464.0,929
HfB2,461.0,993
ZrN,460.0,23
MgO,247.0,23
TiB2,540.0,23
Si3N4,309.0,23
ThO2,137.0,20
Al2O3,388.0,20
Al2O3,379.0,400
Al2O3,375.0,700
Al2O3,345.0,1000
Al2O3,289.0,1200
Al2O3,164.0,1350
Al2O3,82.0,1500
BaTiO3,114.0,114
BaTiO3,112.0,124
BaTiO3,109.0,133
BaTiO3,107.0,143
BaTiO3,101.0,155
BaTiO3,97.0,162
BaTiO3,93.0,171
BaTiO3,87.0,173
BaTiO3,77.0,178
BaTiO3,69.0,183
BaTiO3,69.0,183
BaTiO3,75.0,188
BaTiO3,79.0,192
BaTiO3,79.0,197
BaTiO3,79.0,209
BaTiO3,79.0,218
BaTiO3,77.0,235
BaTiO3,77.0,244
BaTiO3,75.0,256
BaTiO3,75.0,263
BaTiO3,75.0,268
BaTiO3,75.0,273
BaTiO3,71.0,275
BaTiO3,67.0,280
BaTiO3,67.0,280
BaTiO3,69.0,287
BaTiO3,71.0,292
BaTiO3,73.0,303
BaTiO3,79.0,311
BaTiO3,83.0,320
BaTiO3,87.0,334
BaTiO3,88.0,346
BaTiO3,90.0,358
BaTiO3,92.0,370
BaTiO3,92.0,379
BaTiO3,92.0,386
BaTiO3,88.0,393
BaTiO3,86.0,398
BaTiO3,86.0,398
BaTiO3,123.0,401
BaTiO3,133.0,403
BaTiO3,141.0,408
BaTiO3,149.0,410
BaTiO3,156.0,413
BaTiO3,160.0,420
BaTiO3,108.0,193
BaTiO3,102.0,202
BaTiO3,98.0,211
BaTiO3,94.0,218
BaTiO3,90.0,222
BaTiO3,90.0,227
BaTiO3,90.0,229
BaTiO3,90.0,229
BaTiO3,90.0,236
BaTiO3,90.0,253
BaTiO3,89.0,262
BaTiO3,89.0,274
BaTiO3,89.0,283
BaTiO3,87.0,290
BaTiO3,85.0,297
BaTiO3,85.0,299
BaTiO3,86.0,304
BaTiO3,86.0,304
BaTiO3,88.0,309
BaTiO3,92.0,318
BaTiO3,98.0,325
BaTiO3,101.0,332
BaTiO3,107.0,342
BaTiO3,115.0,354
BaTiO3,120.0,363
BaTiO3,126.0,378
BaTiO3,129.0,389
BaTiO3,133.0,394
BaTiO3,137.0,404
BaTiO3,137.0,404
BaTiO3,148.0,404
BaTiO3,156.0,409
BaTiO3,166.0,412
BaTiO3,175.0,419
BaTiO3,132.0,175
BaTiO3,124.0,187
BaTiO3,118.0,201
BaTiO3,114.0,210
BaTiO3,111.0,220
BaTiO3,107.0,232
BaTiO3,107.0,232
BaTiO3,105.0,239
BaTiO3,107.0,253
BaTiO3,109.0,271
BaTiO3,111.0,281
BaTiO3,113.0,295
BaTiO3,118.0,304
BaTiO3,118.0,304
BaTiO3,118.0,307
BaTiO3,122.0,314
BaTiO3,132.0,330
BaTiO3,138.0,342
BaTiO3,146.0,354
BaTiO3,151.0,370
BaTiO3,159.0,384
BaTiO3,163.0,394
BaTiO3,165.0,405
BaTiO3,165.0,405
BaTiO3,171.0,410
BaTiO3,181.0,412
BaTiO3,190.0,419
BaTiO3,124.0,124
BaTiO3,120.0,133
BaTiO3,116.0,150
BaTiO3,110.0,168
BaTiO3,104.0,185
BaTiO3,101.0,196
BaTiO3,95.0,208
BaTiO3,93.0,213
BaTiO3,91.0,220
BaTiO3,91.0,220
BaTiO3,91.0,234
BaTiO3,91.0,255
BaTiO3,91.0,272
BaTiO3,89.0,281
BaTiO3,87.0,290
BaTiO3,87.0,295
BaTiO3,87.0,302
BaTiO3,87.0,302
BaTiO3,87.0,309
BaTiO3,91.0,319
BaTiO3,94.0,335
BaTiO3,100.0,349
BaTiO3,104.0,363
BaTiO3,108.0,380
BaTiO3,110.0,389
BaTiO3,112.0,399
BaTiO3,114.0,403
BaTiO3,114.0,403
BaTiO3,121.0,406
BaTiO3,133.0,410
BaTiO3,139.0,413
BaTiO3,147.0,415
BaTiO3,158.0,420
BaTiO3,139.0,116
BaTiO3,136.0,123
BaTiO3,129.0,127
BaTiO3,124.0,143
BaTiO3,119.0,150
BaTiO3,110.0,155
BaTiO3,109.0,162
BaTiO3,104.0,168
BaTiO3,102.0,175
BaTiO3,100.0,182
BaTiO3,100.0,182
BaTiO3,102.0,189
BaTiO3,103.0,194
BaTiO3,103.0,199
BaTiO3,105.0,206
BaTiO3,106.0,218
BaTiO3,106.0,229
BaTiO3,104.0,248
BaTiO3,100.0,262
BaTiO3,99.0,269
BaTiO3,97.0,278
BaTiO3,97.0,278
BaTiO3,100.0,292
