Formula,Fracture Toughness,Temperature
Y3Al5O12,3.6,1200
Y3Al5O12,4.0,1200
Y3Al5O12,4.9,1400
Y3Al5O12,5.0,1400
Y3Al5O12,5.8,1400
Y3Al5O12,6.9,1600
Y3Al5O12,8.3,1600
Y3Al5O12,9.5,1600
GaN,0.8,23
SiC,4.0,23
Si3N4,5.0,23
SiC,4.4,23
MgO,1.8,23
MgO,1.6,23
MgO,1.3,23
MgO,2.0,23
MgO,1.9,23
MgO,2.0,23
MgO,3.3,1000
MgO,2.6,1000
MgO,2.8,1000
MgO,2.7,1000
MgO,1.8,1000
MgO,4.2,1200
MgO,2.9,1200
MgO,2.3,1200
Al2O3,2.46,25
Al2O3,2.11,200
Al2O3,1.98,400
Al2O3,1.81,600
Al2O3,1.79,775
TiB2,6.2,20
Si3N4,5.2,23
Si3N4,5.0,23
Si3N4,5.0,23
Si3N4,5.0,1200
Si3N4,6.5,1200
Si3N4,4.9,1200
Si3N4,6.0,1200
Si3N4,5.1,1200
Si3N4,8.4,1200
Si3N4,5.1,1200
Si3N4,8.5,1200
Si3N4,6.0,1200
Si3N4,5.5,1200
Si3N4,5.7,1200
Si3N4,6.1,1200
B4C,3.2,20
B4C,3.4,600
B4C,3.1,900
B4C,3.4,1200
Si3N4,5.6,23
Si3N4,7.0,23
Si3N4,7.0,810
Si3N4,5.2,1000
Si3N4,5.1,1270
Al2O3,4.6,0
Al2O3,3.6,200
Al2O3,2.8,400
Al2O3,2.2,600
Al2O3,1.6,800
Al2O3,1.2,1000
Al2O3,1.2,1200
Al2O3,1.6,1400
Al2O3,3.2,0
Al2O3,3.1,200
Al2O3,3.1,400
Al2O3,3.0,600
Al2O3,2.9,800
Al2O3,2.5,0
Al2O3,2.4,200
Al2O3,2.3,400
Al2O3,2.3,600
Al2O3,2.3,800
Al2O3,2.2,1000
Al2O3,2.1,1200
Al2O3,1.9,1400
Al2O3,2.4,0
Al2O3,2.1,200
Al2O3,1.9,400
Al2O3,1.8,600
Al2O3,1.8,800
Al2O3,1.8,1000
Al2O3,1.9,1200
Al2O3,2.0,1400
SiC,5.4,22
SiC,6.8,1000
SiC,8.8,1600
SiC,2.8,22
SiC,4.0,1000
SiC,4.7,22
SiC,5.0,1500
Si3N4,6.8,23
Al2O3,4.5,23
Y3Al5O12,1.7,25
Y3Al5O12,2.3,1400
Y3Al5O12,3.8,1600
Y3Al5O12,1.5,1600
Al2O3,3.6,23
Al2O3,3.6,197
Al2O3,3.4,301
Al2O3,3.4,400
Al2O3,2.9,504
Al2O3,2.6,603
Al2O3,2.4,701
Si3N4,5.0,23
B4C,3.7,330
B4C,3.8,900
B4C,3.4,1300
B4C,3.9,1500
SiC,3.9,22
SiC,3.5,1300
MgAl2O4,3.0,23
MgAl2O4,2.3,800
MgAl2O4,2.3,1000
MgAl2O4,2.7,1100
MgAl2O4,2.9,1200
MgAl2O4,2.6,1300
TiB2,6.0,23
Y3Al5O12,1.6,23
Y3Al5O12,1.8,23
Y3Al5O12,2.0,23
Y3Al5O12,2.5,23
Y3Al5O12,3.0,23
Y3Al5O12,2.2,1200
Y3Al5O12,2.4,1200
Y3Al5O12,2.7,1200
Y3Al5O12,2.9,1200
Y3Al5O12,3.0,1300
Y3Al5O12,3.3,1300
Y3Al5O12,3.1,1400
Y3Al5O12,3.4,1400
Y3Al5O12,3.6,1400
Y3Al5O12,3.7,1400
Y3Al5O12,3.9,1400
Y3Al5O12,4.1,1400
